colony,day_removed,id,oocysts,par_presence,experimental_repeat
B,9,B12,10,1,4
B,9,C1,0,1,4
B,9,C2,0,0,4
B,9,C3,0,0,4
B,9,C4,19,1,4
B,9,C5,4,1,4
B,9,C6,49,1,4
B,9,C7,0,0,4
B,9,C8,5,1,4
B,9,C9,0,0,4
B,9,C10,0,0,4
B,9,C11,0,0,4
B,9,C12,0,0,4
B,9,D1,45,1,4
B,9,D2,0,0,4
B,9,D3,0,0,4
B,9,D4,0,0,4
B,9,D5,68,1,4
B,9,D6,1,1,4
B,9,D7,2,1,4
B,9,D8,0,0,4
B,9,D9,0,0,4
B,9,D10,8,1,4
B,9,D11,0,0,4
B,9,D12,0,0,4
B,9,E1,70,1,4
B,9,E2,1,1,4
B,9,E3,19,1,4
B,9,E4,0,0,4
B,9,E5,0,0,4
B,9,E6,0,0,4
B,9,E7,0,0,4
B,9,E8,81,1,4
B,9,E9,1,1,4
B,9,E10,0,0,4
B,9,E11,1,1,4
B,9,E12,1,1,4
B,9,F1,1,1,4
B,9,F2,1,1,4
B,9,F3,0,0,4
B,9,F4,0,0,4
B,9,F5,0,0,4
B,9,F6,0,0,4
B,9,F7,0,0,4
B,9,F8,0,0,4
B,9,F9,1,1,4
B,9,F10,0,0,4
B,9,F11,0,0,4
B,9,F12,0,0,4
B,9,G1,0,0,4
B,9,G2,0,0,4
B,9,G3,0,0,4
B,9,G4,5,1,4
B,9,G5,2,1,4
B,9,G6,0,0,4
B,9,G7,0,0,4
B,9,G8,0,0,4
B,9,G9,0,0,4
B,9,G10,0,0,4
B,9,G11,0,0,4
B,9,G12,0,0,4
B,9,H1,0,0,4
B,9,H2,0,0,4
B,9,H3,0,0,4
B,9,H4,0,0,4
B,9,H5,0,0,4
B,9,H6,0,0,4
B,9,H7,0,0,4
B,9,H8,29,1,4
B,9,H9,1,1,4
B,9,H10,0,0,4
B,9,H11,0,0,4
B,9,H12,1,1,4
A,10,A1,0,0,4
A,10,A2,0,0,4
A,10,A3,0,0,4
A,10,A4,0,0,4
A,10,A5,1,1,4
A,10,A6,0,0,4
A,10,A7,0,0,4
A,10,A8,0,0,4
A,10,A9,0,0,4
A,10,A10,0,0,4
A,10,A11,0,0,4
A,10,A12,0,0,4
A,10,B1,0,0,4
A,10,B2,0,0,4
A,10,B3,0,0,4
A,10,B4,0,0,4
A,10,B5,0,0,4
A,10,B6,0,0,4
A,10,B7,0,0,4
A,10,B8,0,0,4
A,10,B9,0,0,4
A,10,B10,0,0,4
A,10,B11,0,0,4
A,10,B12,0,0,4
A,10,C1,0,0,4
A,10,C2,0,0,4
A,10,C3,0,0,4
A,10,C4,0,0,4
A,10,C5,0,0,4
A,10,C6,0,0,4
A,10,C7,0,0,4
A,10,C8,0,0,4
A,10,C9,0,0,4
A,10,C10,0,0,4
A,10,C11,0,0,4
A,10,C12,0,0,4
A,10,D1,0,0,4
A,10,D2,0,0,4
A,10,D3,0,0,4
A,10,D4,0,0,4
A,10,D5,0,0,4
A,10,D6,0,0,4
A,10,D7,0,0,4
A,10,D8,0,0,4
A,10,D9,0,0,4
A,10,D10,0,0,4
A,10,D11,0,0,4
A,10,D12,0,0,4
A,10,E1,0,0,4
A,10,E2,0,0,4
A,10,E3,1,1,4
A,10,E4,0,0,4
A,10,E5,0,0,4
A,10,E6,0,0,4
A,10,E7,0,0,4
A,10,E8,0,0,4
A,10,E9,0,0,4
A,10,E10,0,0,4
A,10,E11,0,0,4
A,10,E12,0,0,4
A,10,F1,0,0,4
A,10,F2,0,0,4
A,10,F3,0,0,4
A,10,F4,0,0,4
A,10,F5,0,0,4
A,10,F6,0,0,4
A,10,F7,0,0,4
A,10,F8,0,0,4
A,10,F9,0,0,4
A,10,F10,0,0,4
A,10,F11,0,0,4
A,10,F12,0,0,4
A,10,G1,0,0,4
A,10,G2,0,0,4
A,10,G3,0,0,4
A,10,G4,0,0,4
A,10,G5,0,1,4
A,10,G6,0,0,4
A,10,G7,0,0,4
A,10,G8,0,0,4
A,10,G9,0,0,4
A,10,G10,1,1,4
A,10,G11,11,1,4
A,10,G12,0,0,4
A,10,H1,0,0,4
A,10,H2,1,1,4
A,10,H3,1,1,4
A,10,H4,0,0,4
A,10,H5,0,0,4
A,10,H6,0,0,4
A,10,H7,0,0,4
A,10,H8,0,0,4
A,10,H9,0,0,4
A,10,H10,0,0,4
A,10,H11,0,0,4
A,10,H12,0,0,4
B,10,A1,0,0,4
B,10,A2,0,0,4
B,10,A3,0,0,4
B,10,A4,0,0,4
B,10,A5,8,1,4
B,10,A6,0,0,4
B,10,A7,0,0,4
B,10,A8,1,1,4
B,10,A9,0,0,4
B,10,A10,0,0,4
B,10,A11,0,0,4
B,10,A12,0,0,4
B,10,B1,1,1,4
B,10,B2,0,0,4
B,10,B3,1,1,4
B,10,B4,0,0,4
B,10,B5,0,0,4
B,10,B6,0,0,4
B,10,B7,0,0,4
B,10,B8,12,1,4
B,10,B9,0,0,4
B,10,B10,0,0,4
B,10,B11,0,0,4
B,10,B12,0,0,4
B,10,C1,1,1,4
B,10,C2,0,0,4
B,10,C3,0,0,4
B,10,C4,0,0,4
B,10,C5,0,0,4
B,10,C6,0,0,4
B,10,C7,1,1,4
B,10,C8,0,0,4
B,10,C9,0,0,4
B,10,C10,0,0,4
B,10,C11,0,0,4
B,10,C12,0,0,4
B,10,D1,0,0,4
B,10,D2,0,0,4
B,10,D3,0,0,4
B,10,D4,0,0,4
B,10,D5,0,0,4
B,10,D6,0,0,4
B,10,D7,0,0,4
B,10,D8,0,0,4
B,10,D9,1,1,4
B,10,D10,0,0,4
B,10,D11,0,0,4
B,10,D12,0,0,4
B,10,E1,0,0,4
B,10,E2,0,0,4
B,10,E3,0,0,4
B,10,E4,0,0,4
B,10,E5,0,0,4
B,10,E6,0,0,4
B,10,E7,0,0,4
B,10,E8,0,0,4
B,10,E9,0,0,4
B,10,E10,0,0,4
B,10,E11,0,0,4
B,10,E12,6,1,4
B,10,F1,0,0,4
B,10,F2,26,1,4
B,10,F3,0,0,4
B,10,F4,0,0,4
B,10,F5,0,0,4
B,10,F6,0,0,4
B,10,F7,0,0,4
B,10,F8,4,1,4
B,10,F9,0,0,4
B,10,F10,0,0,4
B,10,F11,0,0,4
B,10,F12,0,0,4
B,10,G1,1,1,4
B,10,G2,0,0,4
B,10,G3,1,1,4
B,10,G4,0,0,4
B,10,G5,0,0,4
B,10,G6,0,0,4
B,10,G7,0,0,4
B,10,G8,1,1,4
B,10,G9,0,0,4
B,10,G10,1,1,4
B,10,G11,1,1,4
B,10,G12,1,1,4
B,10,H1,0,0,4
B,10,H2,1,1,4
B,10,H3,0,0,4
B,10,H4,1,1,4
B,10,H5,0,0,4
B,10,H6,0,0,4
B,10,H7,0,0,4
B,10,H8,0,0,4
B,10,H9,1,1,4
B,10,H10,0,0,4
B,10,H11,2,1,4
B,10,H12,23,1,4
A,11,A1,0,0,4
A,11,A2,45,1,4
A,11,A3,1,1,4
A,11,A4,0,0,4
A,11,A5,0,0,4
A,11,A6,0,0,4
A,11,A7,0,0,4
A,11,A8,0,0,4
A,11,A9,0,0,4
A,11,A10,0,0,4
A,11,A11,0,0,4
A,11,A12,0,0,4
A,11,B1,0,0,4
A,11,B2,0,0,4
A,11,B3,0,0,4
A,11,B4,0,0,4
A,11,B5,0,0,4
A,11,B6,0,0,4
A,11,B7,0,0,4
A,11,B8,0,0,4
A,11,B9,0,0,4
A,11,B10,0,0,4
A,11,B11,0,0,4
A,11,B12,0,0,4
A,11,C1,10,1,4
A,11,C2,4,1,4
A,11,C3,1,1,4
A,11,C4,0,0,4
A,11,C5,0,0,4
A,11,C6,0,0,4
A,11,C7,0,0,4
A,11,C8,0,0,4
A,11,C9,1,1,4
A,11,C10,0,0,4
A,11,C11,0,0,4
A,11,C12,0,0,4
A,11,D1,0,0,4
A,11,D2,0,0,4
A,11,D3,1,1,4
A,11,D4,0,0,4
A,11,D5,0,0,4
A,11,D6,0,0,4
A,11,D7,1,1,4
A,11,D8,0,0,4
A,11,D9,0,0,4
A,11,D10,0,0,4
A,11,D11,0,0,4
A,11,D12,0,0,4
A,11,E1,0,0,4
A,11,E2,0,0,4
A,11,E3,0,0,4
A,11,E4,0,0,4
A,11,E5,0,0,4
A,11,E6,0,0,4
A,11,E7,0,0,4
A,11,E8,0,0,4
A,11,E9,0,0,4
A,11,E10,0,0,4
A,11,E11,0,0,4
A,11,E12,0,0,4
A,11,F1,0,0,4
A,11,F2,0,0,4
A,11,F3,0,0,4
A,11,F4,0,0,4
A,11,F5,0,0,4
A,11,F6,0,0,4
A,11,F7,0,0,4
A,11,F8,0,0,4
A,11,F9,0,0,4
A,11,F10,0,0,4
A,11,F11,0,0,4
A,11,F12,0,0,4
A,11,G1,0,0,4
A,11,G2,0,0,4
A,11,G3,0,0,4
A,11,G4,0,0,4
A,11,G5,0,0,4
A,11,G6,0,0,4
A,11,G7,0,0,4
A,11,G8,0,0,4
A,11,G9,0,0,4
A,11,G10,0,0,4
A,11,G11,0,0,4
A,11,G12,0,0,4
A,11,H1,0,0,4
A,11,H2,0,0,4
A,11,H3,0,0,4
A,11,H4,0,0,4
A,11,H5,0,0,4
A,11,H6,0,0,4
A,11,H7,0,0,4
A,11,H8,0,0,4
A,11,H9,0,0,4
A,11,H10,0,0,4
A,11,H11,0,0,4
A,11,H12,0,0,4
B,11,A1,0,0,4
B,11,A2,2,1,4
B,11,A3,0,0,4
B,11,A4,0,0,4
B,11,A5,0,0,4
B,11,A6,0,0,4
B,11,A7,0,0,4
B,11,A8,0,0,4
B,11,A9,0,0,4
B,11,A10,0,0,4
