"colony","group","day_removed","day_dissected","id","trophont","gamont","gut_gametocyst","par_presence","experimental_repeat"
"B","experimental",4,6,"B3","0","0","0","0",2
"B","experimental",4,6,"B4","0","0","0","0",2
"B","experimental",4,6,"B5","0","0","0","0",2
"B","experimental",4,6,"B6","0","0","0","0",2
"B","experimental",4,6,"B7","0","0","0","0",2
"B","experimental",4,6,"B8","45","1","0","1",2
"B","experimental",4,6,"B9","30","0","0","1",2
"B","experimental",4,6,"B10","0","0","0","0",2
"B","experimental",4,6,"B11","0","0","0","0",2
"B","experimental",4,6,"B12","0","0","0","0",2
"B","control",4,6,"A1","0","0","0","0",2
"B","control",4,6,"A2","0","0","0","0",2
"B","control",4,6,"A3","0","0","0","0",2
"B","control",4,6,"A4","0","0","0","0",2
"B","control",4,6,"A5","0","0","0","0",2
"B","control",4,6,"A6","0","0","0","0",2
"B","control",4,6,"A7","0","0","0","0",2
"B","control",4,6,"A8","0","0","0","0",2
"B","control",4,6,"A9","0","0","0","0",2
"B","control",4,6,"A10","0","0","0","0",2
"B","control",4,6,"A11","0","0","0","0",2
"B","control",4,6,"A12","0","0","0","0",2
"A","experimental",5,7,"C1","13","0","0","1",2
"A","experimental",5,7,"C2","0","0","0","0",2
"A","experimental",5,7,"C3","0","0","0","0",2
"A","experimental",5,7,"C4","0","0","0","0",2
"A","experimental",5,7,"C5","0","0","0","0",2
"A","experimental",5,7,"C6","0","0","0","0",2
"A","experimental",5,7,"C7","0","0","0","0",2
"A","experimental",5,7,"C8","0","0","0","0",2
"A","experimental",5,7,"C9","2","0","0","1",2
"A","experimental",5,7,"C10","0","0","0","0",2
"A","experimental",5,7,"C11","0","0","0","0",2
"A","experimental",5,7,"C12","7","0","0","1",2
"A","experimental",5,7,"D1","0","0","0","0",2
"A","experimental",5,7,"D2","0","0","0","0",2
"A","experimental",5,7,"D3","0","0","0","0",2
"A","experimental",5,7,"D4","0","0","0","0",2
"A","experimental",5,7,"D5","11","0","0","1",2
"A","experimental",5,7,"D6","0","0","0","0",2
"A","experimental",5,7,"D7","0","0","0","0",2
"A","experimental",5,7,"D8","0","0","0","0",2
"A","experimental",5,7,"D9","0","0","0","0",2
"A","experimental",5,7,"D10","0","0","0","0",2
"A","experimental",5,7,"D11","0","0","0","0",2
"A","experimental",5,7,"D12","0","0","0","0",2
"A","control",5,7,"B1","0","0","0","0",2
"A","control",5,7,"B2","bad_dissection","bad_dissection","bad_dissection","bad_dissection",2
"A","control",5,7,"B3","0","0","0","0",2
"A","control",5,7,"B4","0","0","0","0",2
"A","control",5,7,"B5","0","0","0","0",2
"A","control",5,7,"B6","0","0","0","0",2
"A","control",5,7,"B7","0","0","0","0",2
"A","control",5,7,"B8","0","0","0","0",2
"A","control",5,7,"B9","0","0","0","0",2
"A","control",5,7,"B10","0","0","0","0",2
"A","control",5,7,"B11","0","0","0","0",2
"A","control",5,7,"B12","0","0","0","0",2
"B","experimental",5,7,"C1","0","0","0","0",2
"B","experimental",5,7,"C2","0","0","0","0",2
"B","experimental",5,7,"C3","0","0","0","0",2
"B","experimental",5,7,"C4","0","0","0","0",2
"B","experimental",5,7,"C5","0","0","0","0",2
"B","experimental",5,7,"C6","0","0","0","0",2
"B","experimental",5,7,"C7","0","0","0","0",2
"B","experimental",5,7,"C8","59","0","0","1",2
"B","experimental",5,7,"C9","168","0","0","1",2
"B","experimental",5,7,"C10","0","0","0","0",2
"B","experimental",5,7,"C11","83","0","0","1",2
"B","experimental",5,7,"C12","0","0","0","0",2
"B","experimental",5,7,"D1","0","0","0","0",2
"B","experimental",5,7,"D2","0","0","0","0",2
"B","experimental",5,7,"D3","0","0","0","0",2
"B","experimental",5,7,"D4","64","2","0","1",2
"B","experimental",5,7,"D5","86","0","0","1",2
"B","experimental",5,7,"D6","0","0","0","0",2
"B","experimental",5,7,"D7","85","0","0","1",2
"B","experimental",5,7,"D8","0","0","0","0",2
"B","experimental",5,7,"D9","0","0","0","0",2
"B","experimental",5,7,"D10","4","0","0","1",2
"B","experimental",5,7,"D11","3","0","0","1",2
"B","experimental",5,7,"D12","77","0","0","1",2
"B","control",5,7,"B1","0","0","0","0",2
"B","control",5,7,"B2","0","0","0","0",2
"B","control",5,7,"B3","0","0","0","0",2
"B","control",5,7,"B4","0","0","0","0",2
"B","control",5,7,"B5","0","0","0","0",2
"B","control",5,7,"B6","0","0","0","0",2
"B","control",5,7,"B7","0","0","0","0",2
"B","control",5,7,"B8","0","0","0","0",2
