treatment,replicate_no,dissection_no,id,trophont,gamont,gut_gametocyst,par_presence
C,4,2,H7,48,0,0,1
C,4,2,H8,46,0,0,1
C,4,2,H9,0,0,0,0
C,4,2,H10,0,0,0,0
A,4,2,A12,1,0,0,1
A,4,2,B12,36,0,0,1
A,4,2,C12,0,0,0,0
A,4,2,D12,0,0,0,0
A,4,2,E12,9,0,0,1
A,4,2,F12,2,0,0,1
A,4,2,G12,0,0,0,0
A,4,2,H12,3,0,0,1
A,4,2,A11,63,0,0,1
A,4,2,B11,173,0,0,1
E,3,3,A1,101,0,0,1
E,3,3,A2,13,0,0,1
E,3,3,A3,64,0,0,1
E,3,3,A4,15,0,0,1
E,3,3,A5,0,0,0,0
E,3,3,A6,77,0,0,1
E,3,3,A7,92,0,0,1
E,3,3,A8,42,0,0,1
E,3,3,A9,36,0,0,1
E,3,3,A10,23,0,0,1
A,1,3,B1,0,0,0,0
A,1,3,B2,0,0,0,0
A,1,3,B3,12,0,0,1
A,1,3,B4,3,0,0,1
A,1,3,B5,0,0,0,0
A,1,3,B6,0,0,0,0
A,1,3,B7,107,0,0,1
A,1,3,B8,10,0,0,1
A,1,3,B9,14,0,0,1
A,1,3,B10,40,0,0,1
C,2,3,C1,0,0,0,0
C,2,3,C2,8,0,0,1
C,2,3,C3,44,0,0,1
C,2,3,C4,63,0,0,1
C,2,3,C5,0,0,0,0
C,2,3,C6,49,0,0,1
C,2,3,C7,47,0,0,1
C,2,3,C8,0,0,0,0
C,2,3,C9,0,0,0,0
C,2,3,C10,16,0,0,1
D,2,3,D1,70,0,0,1
D,2,3,D2,0,0,0,0
D,2,3,D3,111,0,0,1
D,2,3,D4,33,0,0,1
D,2,3,D5,1,0,0,1
D,2,3,D6,0,0,0,0
D,2,3,D7,26,0,0,1
D,2,3,D8,26,0,0,1
D,2,3,D9,288,0,10,1
D,2,3,D10,2,0,0,1
A,4,3,E1,40,0,0,1
A,4,3,E2,19,0,0,1
A,4,3,E3,13,0,0,1
A,4,3,E4,0,0,0,0
A,4,3,E5,0,0,0,0
A,4,3,E6,3,0,0,1
A,4,3,E7,215,0,0,1
A,4,3,E8,9,0,0,1
A,4,3,E9,0,0,0,0
A,4,3,E10,pupated,pupated,pupated,pupated
C,3,3,F1,0,0,0,0
C,3,3,F2,0,0,0,0
C,3,3,F3,33,0,0,1
C,3,3,F4,52,0,0,1
C,3,3,F5,58,0,0,1
C,3,3,F6,0,0,0,0
C,3,3,F7,69,0,0,1
C,3,3,F8,22,0,0,1
C,3,3,F9,50,1,0,1
C,3,3,F10,10,0,0,1
C,4,3,G1,8,0,0,1
C,4,3,G2,92,0,0,1
C,4,3,G3,18,0,0,1
C,4,3,G4,483,0,20,1
C,4,3,G5,6,1,0,1
C,4,3,G6,16,0,0,1
C,4,3,G7,19,0,0,1
C,4,3,G8,0,0,0,0
C,4,3,G9,36,7,9,1
C,4,3,G10,0,0,0,0
B,4,3,H1,43,0,6,1
B,4,3,H2,0,0,0,0
B,4,3,H3,4,0,0,1
B,4,3,H4,61,0,0,1
B,4,3,H5,0,0,0,0
B,4,3,H6,27,0,0,1
B,4,3,H7,19,0,0,1
B,4,3,H8,80,28,40,1
